Best for Generation 1
add(1.3028950612317534, truediv(add(mul(child_win_score, 1.4805422989013817), 1.2894654267603), truediv(3.078842075127573, add(4.923355222581765, total_number_of_available_moves))));(2685.5999999999999,)
truediv(mul(add(0.8169156411501831, add(3.956975266658519, child_visit_count)), 15.687174425008214), sqrt(sqrt(mul(total_number_of_available_moves, 4.923355222581765))));(2628.0,)
add(mul(add(2.6490869695765014, sqrt(mul(1.8137128805396445, truediv(3.956975266658519, total_number_of_available_moves)))), mul(mul(truediv(86.19812167723414, mul(child_visit_count, 1.4805422989013817)), 2.530592326212017), mul(add(89.46978338026028, sqrt(current_visit_count)), 4.09326435141876))), sqrt(add(truediv(add(add(9.093330509928172, current_visit_count), add(2.68728845242324, child_visit_count)), sqrt(mul(child_visit_count, child_win_score))), 0.8558873523077979)));(2624.4000000000001,)
truediv(add(sqrt(child_win_score), 7.316343915794761), add(truediv(truediv(sqrt(total_number_of_available_moves), 3.956975266658519), 4.923355222581765), 7.316343915794761));(2607.1999999999998,)
mul(truediv(truediv(2.7048741035018176, add(total_number_of_available_moves, 9.438469134800883)), 35.77531061863462), mul(add(7.221519226527292, mul(child_win_score, 9.47926852357586)), 1.4895850086384994));(2607.1999999999998,)
add(sqrt(add(truediv(9.47926852357586, total_number_of_available_moves), 35.98208391933708)), add(1.0674510695371455, truediv(sqrt(child_visit_count), mul(9.47926852357586, child_visit_count))));(2589.1999999999998,)
mul(add(child_visit_count, 3.2895544130354146), mul(7.316343915794761, child_win_score));(2561.5999999999999,)
sqrt(add(child_win_score, 9.47926852357586));(2561.5999999999999,)
truediv(add(3.2895544130354146, child_win_score), 10.605898328830175);(2561.5999999999999,)
mul(3.1432633857115047, add(1.6627210868101228, child_win_score));(2561.5999999999999,)
sqrt(sqrt(mul(add(2.2568152614231978, mul(truediv(1.4805422989013817, current_visit_count), mul(1.6627210868101228, child_win_score))), sqrt(sqrt(sqrt(child_win_score))))));(2561.5999999999999,)
add(15.119672388191418, mul(sqrt(child_win_score), 1.4805422989013817));(2561.5999999999999,)
sqrt(add(add(2.36307755454752, sqrt(add(mul(child_win_score, 2.68728845242324), 1.989214736185744))), mul(sqrt(add(mul(child_win_score, current_visit_count), 1.8137128805396445)), 1.281508981641554)));(2561.5999999999999,)
add(13.974052790947834, mul(child_win_score, 1.4805422989013817));(2561.5999999999999,)
truediv(add(4.923355222581765, sqrt(child_win_score)), 5.572105328749879);(2561.5999999999999,)
sqrt(truediv(mul(4.923355222581765, child_win_score), add(4.923355222581765, current_visit_count)));(2561.5999999999999,)
sqrt(add(1.0, add(child_win_score, 9.093330509928172)));(2561.5999999999999,)
sqrt(sqrt(mul(child_win_score, 4.923355222581765)));(2561.5999999999999,)
