(1800.0,)
(1920.0,)
(2600.0,)
(2220.0,)
(1860.0,)
(3000.0,)
(2700.0,)
(2680.0,)
(3060.0,)
(2740.0,)
(3660.0,)
(2220.0,)
(3060.0,)
(2380.0,)
(1560.0,)
(2060.0,)
(2940.0,)
(1740.0,)
(3840.0,)
(2720.0,)
(3000.0,)
(1920.0,)
(5180.0,)
(2040.0,)
(2100.0,)
(1500.0,)
(2760.0,)
(2040.0,)
(2160.0,)
(3180.0,)
(2420.0,)
(3180.0,)
(3000.0,)
(5060.0,)
(2280.0,)
(3220.0,)
(1560.0,)
(2100.0,)
(2280.0,)
(2800.0,)
(3900.0,)
(2860.0,)
(2740.0,)
(1920.0,)
(2880.0,)
(2940.0,)
(2160.0,)
(2640.0,)
(2580.0,)
(2080.0,)
