Game_Id;Turn_#;Agent;Time_Limit;Move_Made;List_Of_Moves;Board;Points
d33d32a1-99e5-4b02-bc85-871a03892ac6;0;MCTS;30;((5, 1), (5, 2));"{(0, 2): [(1, 2)], (0, 1): [(1, 1)], (1, 1): [(1, 2), (2, 1)], (1, 2): [(2, 2)], (2, 1): [(2, 2), (3, 1)], (2, 2): [(3, 2)], (2, 5): [(2, 6)], (5, 1): [(5, 2)], (4, 2): [(4, 1)], (6, 4): [(6, 3)], (5, 3): [(6, 3)], (2, 3): [(3, 3)]}
";"[[ 61   3  43   3  19  61  61]
 [ 61  61   3   3 199  43  19]
 [  3   3 199  43  61  19 199]
 [ 43  19   3   3  61 163  19]
 [  3  61 163 163 199   3  43]
 [163 199  61  19 199 199  19]
 [ 19  61  61 199   3  61 163]]";180

d33d32a1-99e5-4b02-bc85-871a03892ac6;1;MCTS;30;((5, 2), (5, 3));"{(3, 1): [(3, 2)], (2, 5): [(2, 6)], (6, 4): [(6, 3)], (5, 3): [(6, 3)], (2, 0): [(2, 1)], (3, 2): [(3, 3)], (5, 2): [(5, 3)]}
";"[[ 61 163  19 163  19  61  61]
 [ 61 199  43   3 199  43  19]
 [  3 199   3   3  61  19 199]
 [ 43  43 199  43  61 163  19]
 [  3  61 163 163 199   3  43]
 [163   3 199  19 199 199  19]
 [ 19  19  61 199   3  61 163]]";240

d33d32a1-99e5-4b02-bc85-871a03892ac6;2;MCTS;30;((3, 1), (3, 2));"{(3, 1): [(3, 2)], (5, 2): [(6, 2)], (0, 3): [(1, 3)], (2, 0): [(2, 1)]}
";"[[ 61 163  19   3 199  43  61]
 [ 61 199  43 163  19  61  19]
 [  3 199   3   3 199  43 199]
 [ 43  43 199   3  61  19  19]
 [  3  61 163  43  61 163  43]
 [163   3  19 163 199   3  19]
 [ 19  19  61 199   3  61 163]]";300

d33d32a1-99e5-4b02-bc85-871a03892ac6;3;MCTS;30;((2, 0), (2, 1));"{(2, 0): [(2, 1)], (5, 2): [(6, 2)], (0, 3): [(1, 3)]}
";"[[ 61 199  19   3 199  43  61]
 [ 61 163  43 163  19  61  19]
 [  3  61   3   3 199  43 199]
 [ 43 163  43   3  61  19  19]
 [  3  61 163  43  61 163  43]
 [163   3  19 163 199   3  19]
 [ 19  19  61 199   3  61 163]]";480

d33d32a1-99e5-4b02-bc85-871a03892ac6;4;MCTS;30;((4, 2), (4, 3));"{(4, 1): [(4, 2)], (4, 2): [(4, 3)], (5, 2): [(6, 2)], (0, 1): [(1, 1)], (0, 2): [(1, 2)]}
";"[[199 163  43  61 199  43  61]
 [ 19 199  19   3  19  61  19]
 [  3 163  43 163 199  43 199]
 [ 43 163  43   3  61  19  19]
 [  3  61 163  43  61 163  43]
 [163   3  19 163 199   3  19]
 [ 19  19  61 199   3  61 163]]";540

