Game_Id, Turn_#, Agent, Points, Time_Limit, Move_Made, List_Of_Moves
ec99144a-d6ca-47ac-a6e3-679578192d4b,10,MCTS,1800,1,"((2, 5), (3, 5))","{(1, 1): [(1, 0)], (2, 5): [(3, 5)], (3, 2): [(4, 2)], (3, 4): [(3, 5)], (3, 5): [(4, 5), (3, 6)], (3, 1): [(4, 1), (3, 2)], (4, 1): [(4, 2)], (4, 2): [(4, 3), (5, 2)], (4, 3): [(5, 3)], (5, 2): [(5, 3)]}","[[ 19 163 163   3  43  61  61]
 [ 61 163  43  61  43 199   3]
 [199  61  19   3   3  19 163]
 [  3  61   3  43   3 163  19]
 [163   3 163   3  43  61 199]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,11,MCTS,1860,1,"((2, 2), (3, 2))","{(1, 1): [(1, 0)], (2, 2): [(3, 2)], (2, 3): [(3, 3)], (3, 2): [(3, 3), (4, 2)], (3, 3): [(3, 4), (4, 3)], (4, 4): [(4, 3), (5, 4)], (3, 1): [(4, 1)], (4, 1): [(4, 2)], (4, 2): [(4, 3), (5, 2)], (4, 3): [(4, 4), (5, 3)], (5, 2): [(5, 3)]}","[[ 19 163 163  61  19  61  61]
 [ 61 163 163   3  43 199   3]
 [199  61  43  61  43  19 163]
 [  3  61  19  43   3 163  19]
 [163   3 163   3  43  61 199]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,12,MCTS,2460,1,"((3, 4), (3, 3))","{(1, 1): [(1, 0)], (3, 4): [(3, 3), (4, 4)], (2, 3): [(3, 3)], (3, 3): [(3, 4)], (4, 3): [(4, 4), (5, 3)], (4, 2): [(5, 2)], (0, 3): [(0, 4)], (5, 2): [(5, 3)]}","[[ 19 163 163  19 163   3  61]
 [ 61 163 163   3  19 199   3]
 [199  61  43  61   3  19 163]
 [  3  61  19   3  43 163  19]
 [163   3 163   3  43  61 199]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,13,MCTS,2580,1,"((2, 3), (2, 4))","{(1, 1): [(1, 0)], (2, 3): [(2, 4)], (5, 3): [(5, 2), (5, 4)], (4, 3): [(5, 3)], (4, 2): [(5, 2)], (1, 3): [(2, 3)], (5, 4): [(6, 4)], (0, 3): [(0, 4)], (5, 2): [(5, 3)]}","[[ 19 163 163  43 163   3  61]
 [ 61 163 163  19  19 199   3]
 [199  61  43   3  61  19 163]
 [  3  61  19  19  43 163  19]
 [163   3 163  19  43  61 199]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,14,MCTS,3480,1,"((5, 3), (6, 3))","{(1, 5): [(2, 5)], (1, 1): [(1, 0)], (1, 3): [(2, 3)], (5, 3): [(6, 3)], (5, 4): [(6, 4)], (0, 3): [(0, 4)], (5, 2): [(5, 3)]}","[[ 19 163 163  61 163 163 199]
 [ 61 163  61 199   3  19  61]
 [199  61  19   3 163 199 163]
 [  3  61  43  19  43  19  19]
 [163   3  19  43 163 163 199]
 [163 199 163  19  19  61 199]
 [ 61 199  61 163  61 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,15,MCTS,3540,1,"((1, 1), (1, 2))","{(1, 1): [(2, 1), (1, 0), (1, 2)], (3, 2): [(3, 3)], (4, 2): [(4, 3), (5, 2)], (3, 3): [(4, 3), (3, 4)], (0, 3): [(0, 4)], (0, 2): [(0, 3)]}","[[ 19   3 163  61 163 163 199]
 [ 61  43 163 199   3  19  61]
 [199   3  19   3 163 199 163]
 [  3 163  43  19  43  19  19]
 [163   3  19  43 163 163 199]
 [163 199 163  19  19  61 199]
 [ 61 199  61 163  61 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,16,MCTS,3600,1,"((4, 2), (4, 3))","{(3, 0): [(3, 1)], (3, 2): [(3, 3)], (4, 2): [(4, 3), (5, 2)], (3, 3): [(4, 3), (3, 4)], (0, 2): [(0, 3)]}","[[ 19   3 163 199 163 163 199]
 [ 61  43 163   3   3  19  61]
 [199   3  19  61 163 199 163]
 [  3 163  43  61  43  19  19]
 [163   3  43 199 163 163 199]
 [163 199 163   3  19  61 199]
 [ 61 199  61 163  61 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,17,MCTS,3660,1,"((0, 2), (0, 3))","{(3, 0): [(3, 1)], (0, 2): [(0, 3)]}","[[ 19   3 199 199  43  61 199]
 [ 61  43 163   3   3  19  61]
 [199   3  19  61 163 199 163]
 [  3 163  43  61  43  19  19]
 [163   3  43 199 163 163 199]
 [163 199 163   3  19  61 199]
 [ 61 199  61 163  61 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,18,MCTS,3780,1,"((3, 0), (3, 1))","{(3, 0): [(3, 1)]}","[[ 61   3 199 199  43  61 199]
 [ 19  19 163   3   3  19  61]
 [163  61  19  61 163 199 163]
 [ 19   3  43  61  43  19  19]
 [ 61  43  43 199 163 163 199]
 [199 199 163   3  19  61 199]
 [ 61 199  61 163  61 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,19,MCTS,3840,1,"((1, 2), (2, 2))","{(1, 2): [(2, 2)]}","[[ 61  43 199 199  43  61 199]
 [ 61   3 199   3   3  19  61]
 [163  61 163  61 163 199 163]
 [ 19   3  43  61  43  19  19]
 [ 61  43  43 199 163 163 199]
 [199 199 163   3  19  61 199]
 [ 61 199  61 163  61 163  19]]"
