Game_Id;Turn_#;Agent;Time_Limit;Move_Made;List_Of_Moves;Board;Points
6af6387f-f229-4e85-8605-c5049346c2a2;10;MCTS;1;((4, 5), (5, 5));"{(3, 2): [(4, 2)], (5, 5): [(6, 5)], (4, 5): [(5, 5)], (0, 6): [(1, 6)], (2, 2): [(3, 2)], (3, 4): [(4, 4)], (2, 4): [(3, 4)], (4, 6): [(5, 6)]}
";"[[163  61  43   3 199  19  61]
 [ 43 163  43 163 199  43 199]
 [ 19  61  61   3  19 163  61]
 [ 19 163  43  43 199 163  61]
 [ 43   3 199  43  43  19  19]
 [163  43  19   3   3 163  61]
 [199  19  61 163 199   3 199]]";2100
6af6387f-f229-4e85-8605-c5049346c2a2;11;MCTS;1;((3, 5), (3, 4));"{(3, 4): [(4, 4)], (2, 2): [(3, 2)], (0, 5): [(1, 5)], (5, 5): [(6, 5)], (3, 5): [(3, 4)]}
";"[[163  61  43 163  43  61   3]
 [ 43 163  43   3  61 199  61]
 [ 19  61  61 163 199  43   3]
 [ 19 163  43   3  19  61 163]
 [ 43   3 199  43 199  19  19]
 [163  43  19   3   3  19  61]
 [199  19  61 163 199   3 199]]";2560
6af6387f-f229-4e85-8605-c5049346c2a2;12;MCTS;1;((2, 2), (3, 2));"{(1, 3): [(1, 4)], (5, 5): [(6, 5)], (2, 2): [(3, 2)], (4, 2): [(4, 3)], (2, 5): [(2, 4)], (3, 4): [(3, 5)]}
";"[[163  61  43 163 163  19  19]
 [ 43 163  43   3  43   3   3]
 [ 19  61  61 163 199  61   3]
 [ 19 163  43   3  61 199 163]
 [ 43   3 199  43 199 199  19]
 [163  43  19   3   3  43  61]
 [199  19  61 163 199   3 199]]";2620
6af6387f-f229-4e85-8605-c5049346c2a2;13;MCTS;1;((2, 2), (2, 1));"{(1, 3): [(1, 4)], (5, 5): [(6, 5)], (2, 1): [(2, 2)], (2, 2): [(2, 1), (3, 2)], (4, 2): [(4, 3)], (2, 5): [(2, 4)], (3, 4): [(3, 5)], (1, 1): [(1, 2)]}
";"[[163  61  61 163 163  19  19]
 [ 43 163  61   3  43   3   3]
 [ 19  61  19 163 199  61   3]
 [ 19 163  61   3  61 199 163]
 [ 43   3 199  43 199 199  19]
 [163  43  19   3   3  43  61]
 [199  19  61 163 199   3 199]]";2740
6af6387f-f229-4e85-8605-c5049346c2a2;14;MCTS;1;((3, 1), (4, 1));"{(1, 2): [(1, 3)], (1, 3): [(1, 4)], (5, 5): [(6, 5)], (3, 1): [(4, 1)], (2, 2): [(2, 3)], (4, 2): [(4, 1), (4, 3)], (2, 5): [(2, 4)], (3, 4): [(3, 5)], (0, 2): [(1, 2)]}
";"[[163  61   3 163 163  19  19]
 [ 43 163  43   3  43   3   3]
 [ 19  19   3 163 199  61   3]
 [ 19 163   3   3  61 199 163]
 [ 43   3 199  43 199 199  19]
 [163  43  19   3   3  43  61]
 [199  19  61 163 199   3 199]]";2800
6af6387f-f229-4e85-8605-c5049346c2a2;15;MCTS;1;((5, 5), (6, 5));"{(4, 2): [(4, 3)], (2, 5): [(2, 4)], (3, 4): [(3, 5)], (5, 5): [(6, 5)], (2, 2): [(2, 3), (3, 2)]}
";"[[163 199   3  61 163  19  19]
 [ 43  61   3 163  43   3   3]
 [ 19 163  43   3 199  61   3]
 [ 19  19   3 163  61 199 163]
 [ 43 163 199  43 199 199  19]
 [163  43  19   3   3  43  61]
 [199  19  61 163 199   3 199]]";2980
6af6387f-f229-4e85-8605-c5049346c2a2;16;MCTS;1;((4, 4), (4, 5));"{(5, 5): [(6, 5)], (5, 6): [(6, 6)], (4, 4): [(4, 5)], (2, 2): [(3, 2)], (3, 4): [(4, 4)], (6, 5): [(6, 4), (6, 6)], (3, 5): [(3, 4)]}
";"[[163 199   3  43  43  19  61]
 [ 43  61   3  61 163  19   3]
 [ 19 163  43 163  43   3   3]
 [ 19  19   3   3 199  61 163]
 [ 43 163 199 163  61 199  19]
 [163  43  19  43 199 199  61]
 [199  19  61 163 199  43 199]]";3100
6af6387f-f229-4e85-8605-c5049346c2a2;17;MCTS;1;((5, 3), (6, 3));"{(2, 2): [(3, 2)], (2, 5): [(2, 4)], (5, 3): [(5, 4), (6, 3)], (5, 5): [(5, 6)], (0, 4): [(0, 5)]}
";"[[163 199   3  43 163  19  61]
 [ 43  61   3  61  19  19   3]
 [ 19 163  43 163  19   3   3]
 [ 19  19   3   3 199  61 163]
 [ 43 163 199 163  43  61  19]
 [163  43  19  43 163 199  61]
 [199  19  61 163  43  43 199]]";3280
6af6387f-f229-4e85-8605-c5049346c2a2;18;MCTS;1;((3, 6), (3, 5));"{(3, 3): [(4, 3)], (1, 4): [(1, 5)], (0, 6): [(0, 5)], (3, 6): [(3, 5)], (2, 2): [(3, 2)], (3, 5): [(3, 4)]}
";"[[163 199   3 163 163   3  61]
 [ 43  61   3  43 163  19   3]
 [ 19 163  43  61  19  19   3]
 [ 19  19   3 163  19   3 163]
 [ 43 163 199   3 199  61  19]
 [163  43  19 163  43  61  61]
 [199  19  61 163 163 199 199]]";3340
6af6387f-f229-4e85-8605-c5049346c2a2;19;MCTS;1;((4, 5), (4, 6));"{(2, 6): [(3, 6)], (3, 3): [(4, 3)], (4, 5): [(4, 6)], (1, 4): [(1, 5)], (2, 2): [(3, 2)], (3, 5): [(3, 4), (3, 6)]}
";"[[163 199   3 163 163   3  61]
 [ 43  61   3  43 163  19  61]
 [ 19 163  43  61  19  19  43]
 [ 19  19   3 163  19 163  61]
 [ 43 163 199   3 199  61  19]
 [163  43  19 163  43  61  61]
 [199  19  61 163 163 199 199]]";3700
6af6387f-f229-4e85-8605-c5049346c2a2;0;RAND;0;((1, 2), (2, 2));"{(1, 2): [(2, 2)], (2, 6): [(3, 6)], (3, 3): [(4, 3), (3, 4)], (4, 5): [(5, 5)], (3, 4): [(4, 4)], (1, 5): [(1, 4)], (4, 2): [(5, 2)], (5, 2): [(5, 3)]}
";"[[163 163  19  61  61  43  19]
 [ 43  19 199  43 163   3  61]
 [ 61  61 163   3  19 163  19]
 [ 19 199 199  43 199 163 199]
 [ 43  61 199 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";360
6af6387f-f229-4e85-8605-c5049346c2a2;1;RAND;0;((2, 1), (3, 1));"{(2, 6): [(3, 6)], (3, 3): [(4, 3)], (4, 5): [(5, 5)], (2, 1): [(3, 1)], (1, 5): [(1, 4)], (3, 4): [(4, 4)]}
";"[[199   3  43  19 199  43  19]
 [163 163  43  43 163   3  61]
 [ 43  19  61   3  19 163  19]
 [ 19 199  19  43 199 163 199]
 [ 43  61 163 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";540
6af6387f-f229-4e85-8605-c5049346c2a2;2;RAND;0;((1, 2), (2, 2));"{(1, 2): [(2, 2)], (2, 6): [(3, 6)], (3, 3): [(4, 3)], (4, 5): [(5, 5)], (1, 5): [(1, 4)], (5, 0): [(5, 1)], (3, 4): [(4, 4)]}
";"[[163  61  19  19 199  43  19]
 [199   3 163  43 163   3  61]
 [163 163  19   3  19 163  19]
 [ 43 199  61  43 199 163 199]
 [ 43  61 163 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";600
6af6387f-f229-4e85-8605-c5049346c2a2;3;RAND;0;((1, 5), (1, 4));"{(0, 0): [(1, 0)], (3, 3): [(4, 3)], (4, 5): [(5, 5)], (1, 5): [(1, 4)], (2, 6): [(3, 6)], (5, 0): [(5, 1)], (3, 4): [(4, 4)], (0, 2): [(0, 3)]}
";"[[ 43 163 163  19 199  43  19]
 [163  61  19  43 163   3  61]
 [199   3  19   3  19 163  19]
 [ 43 199  61  43 199 163 199]
 [ 43  61 163 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";660
6af6387f-f229-4e85-8605-c5049346c2a2;4;RAND;0;((1, 5), (1, 6));"{(0, 0): [(1, 0)], (3, 3): [(4, 3)], (1, 5): [(1, 6), (2, 5)], (2, 6): [(3, 6)], (5, 0): [(5, 1)], (3, 4): [(4, 4)], (0, 2): [(0, 3)]}
";"[[ 43 163 163  19 199 163  19]
 [163  61  19  43   3  19  61]
 [199   3  19   3  19 163  19]
 [ 43 199  61  43 199  43 199]
 [ 43  61 163 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";720
6af6387f-f229-4e85-8605-c5049346c2a2;5;RAND;0;((0, 2), (0, 3));"{(0, 0): [(1, 0)], (3, 3): [(4, 3)], (1, 5): [(1, 6)], (5, 0): [(5, 1)], (3, 4): [(4, 4)], (0, 2): [(0, 3)]}
";"[[ 43 163 163  19 199 163  61]
 [163  61  19  43   3  61  43]
 [199   3  19   3  19 163  61]
 [ 43 199  61  43 199  43 199]
 [ 43  61 163 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";780
6af6387f-f229-4e85-8605-c5049346c2a2;6;RAND;0;((5, 0), (5, 1));"{(1, 5): [(1, 6)], (3, 4): [(4, 4)], (3, 3): [(4, 3)], (5, 0): [(5, 1)]}
";"[[ 43 163  43 163 199 163  61]
 [163  61  61  43   3  61  43]
 [199   3 163   3  19 163  61]
 [ 43 199  61  43 199  43 199]
 [ 43  61 163 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";840
6af6387f-f229-4e85-8605-c5049346c2a2;7;RAND;0;((2, 2), (2, 3));"{(0, 0): [(1, 0)], (3, 3): [(4, 3)], (4, 1): [(5, 1)], (1, 5): [(1, 6)], (2, 2): [(2, 3)], (3, 4): [(4, 4)], (4, 0): [(4, 1)]}
";"[[ 61 163  43 163 199 163  61]
 [ 19  61  61  43   3  61  43]
 [  3   3 163   3  19 163  61]
 [ 43 199  61  43 199  43 199]
 [163  61 163 163  43  43  19]
 [199 163  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";900
6af6387f-f229-4e85-8605-c5049346c2a2;8;RAND;0;((1, 5), (1, 6));"{(3, 3): [(4, 3)], (4, 1): [(5, 1)], (3, 1): [(3, 2)], (1, 5): [(1, 6)], (4, 2): [(4, 1)], (1, 0): [(1, 1), (2, 0)], (3, 4): [(4, 4)], (4, 0): [(4, 1)]}
";"[[199  61  19 163 199 163  61]
 [ 61 163  43  43   3  61  43]
 [ 19  61  61 163  19 163  61]
 [ 43 199  61  43 199  43 199]
 [163  61 163 163  43  43  19]
 [199 163  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";960
6af6387f-f229-4e85-8605-c5049346c2a2;9;RAND;0;((4, 2), (4, 1));"{(3, 3): [(4, 3)], (4, 1): [(5, 1)], (3, 1): [(3, 2)], (1, 4): [(1, 5)], (1, 5): [(2, 5)], (4, 2): [(4, 1)], (1, 0): [(1, 1), (2, 0)], (3, 4): [(4, 4)], (0, 3): [(0, 4)], (4, 0): [(4, 1)]}
";"[[199  61  19 163 199 163 163]
 [ 61 163  43  43   3  43  61]
 [ 19  61  61 163  19 163 199]
 [ 43 199  61  43 199  43 199]
 [163  61 163 163  43  43  19]
 [199 163  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";1140
6af6387f-f229-4e85-8605-c5049346c2a2;10;RAND;0;((3, 3), (4, 3));"{(1, 2): [(1, 3)], (3, 2): [(3, 3)], (1, 3): [(2, 3)], (3, 3): [(4, 3)], (1, 5): [(2, 5)], (2, 2): [(2, 3)], (4, 2): [(4, 3)], (1, 0): [(1, 1)], (3, 4): [(4, 4)], (0, 3): [(1, 3), (0, 4)]}
";"[[199  61 199 163 199 163 163]
 [ 61 163 163  43   3  43  61]
 [ 19  61  43 163  19 163 199]
 [ 43 199  19  43 199  43 199]
 [163 163  43 163  43  43  19]
 [199 163  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";1380
6af6387f-f229-4e85-8605-c5049346c2a2;11;RAND;0;((1, 3), (2, 3));"{(1, 2): [(2, 2)], (5, 4): [(5, 3)], (0, 0): [(1, 0)], (1, 4): [(2, 4)], (2, 5): [(3, 5)], (6, 2): [(6, 1)], (2, 3): [(2, 2)], (2, 2): [(2, 3)], (1, 3): [(2, 3)], (4, 2): [(4, 3)], (1, 0): [(1, 1)], (2, 4): [(3, 4)], (5, 3): [(6, 3)]}
";"[[199  61  61  19 199 163 163]
 [ 61 163 199 163 199 163  61]
 [ 19  61 163  43  19  43 199]
 [ 43 199  43 163 199 163 199]
 [163 163  19 163 199  43  19]
 [199 163  19 199   3 163  19]
 [199  19  61 163  19   3 199]]";1560
6af6387f-f229-4e85-8605-c5049346c2a2;12;RAND;0;((5, 4), (5, 3));"{(0, 1): [(1, 1)], (1, 2): [(2, 2)], (3, 2): [(3, 3)], (5, 4): [(5, 3)], (1, 4): [(2, 4)], (2, 5): [(3, 5)], (6, 2): [(6, 1)], (1, 0): [(1, 1)], (1, 1): [(1, 2), (2, 1)]}
";"[[199  61  43   3  61 163 163]
 [ 61 163  61  43 199 163  61]
 [ 19  61 163  61  19  43 199]
 [ 43 199  43  19 199 163 199]
 [163 163  19  43 199  43  19]
 [199 163  19 199   3 163  19]
 [199  19  61 163  19   3 199]]";1620
6af6387f-f229-4e85-8605-c5049346c2a2;13;RAND;0;((2, 5), (3, 5));"{(0, 1): [(1, 1)], (1, 2): [(2, 2)], (3, 2): [(3, 3)], (1, 3): [(2, 3)], (2, 5): [(3, 5)], (6, 2): [(6, 1)], (1, 0): [(1, 1)], (1, 1): [(1, 2), (2, 1)]}
";"[[199  61  43   3 199 163 163]
 [ 61 163  61  43   3 163  61]
 [ 19  61 163  61  43  43 199]
 [ 43 199  43  19  61 163 199]
 [163 163  19  43 199  43  19]
 [199 163  19   3  19 163  19]
 [199  19  61 163  19   3 199]]";1680
6af6387f-f229-4e85-8605-c5049346c2a2;14;RAND;0;((6, 2), (6, 1));"{(0, 1): [(1, 1)], (1, 2): [(2, 2)], (3, 2): [(3, 3)], (2, 5): [(2, 4)], (6, 2): [(6, 1)], (1, 0): [(1, 1)], (1, 1): [(1, 2), (2, 1)]}
";"[[199  61  43   3 199 199 163]
 [ 61 163  61  43   3  61  61]
 [ 19  61 163  61  43 199 199]
 [ 43 199  43  19  61  43 199]
 [163 163  19  43 199  43  19]
 [199 163  19   3  19 163  19]
 [199  19  61 163  19   3 199]]";1740
6af6387f-f229-4e85-8605-c5049346c2a2;15;RAND;0;((1, 0), (1, 1));"{(0, 0): [(1, 0)], (4, 2): [(5, 2)], (1, 0): [(1, 1)], (4, 0): [(5, 0)], (2, 5): [(2, 4)], (5, 3): [(6, 3)]}
";"[[199  61  61   3 199 199 163]
 [ 61 163  19  43   3  61  61]
 [ 19  61 199  61  43 199 199]
 [ 43 199  43  19  61  43 199]
 [163 163  61  43 199  43  19]
 [199 163 163   3  19 163  19]
 [199  61  43 163  19   3 199]]";1800
