0,0,MCTS,600,1.0312633514404297,"((1, 3), (2, 3))","{(0, 2): [(1, 2)], (0, 1): [(0, 2)], (1, 3): [(2, 3)], (2, 5): [(3, 5)], (2, 1): [(3, 1), (2, 0), (2, 2)], (2, 4): [(2, 5)], (5, 4): [(6, 4)], (5, 2): [(5, 3)]}"
0,1,MCTS,660,1.1707313060760498,"((1, 3), (1, 4))","{(0, 2): [(0, 1)], (1, 3): [(1, 4)], (0, 6): [(1, 6)], (2, 5): [(3, 5)], (2, 1): [(2, 0)], (2, 4): [(2, 5)], (5, 4): [(6, 4)], (5, 2): [(5, 3)]}"
0,2,MCTS,1020,1.399181604385376,"((2, 1), (2, 0))","{(0, 2): [(0, 1)], (2, 5): [(3, 5)], (2, 1): [(2, 0)], (2, 4): [(2, 5)], (5, 4): [(6, 4)], (1, 2): [(1, 3)], (5, 2): [(5, 3)]}"
0,3,MCTS,1380,1.2614200115203857,"((2, 4), (2, 5))","{(1, 1): [(2, 1)], (1, 2): [(1, 1)], (2, 5): [(3, 5)], (2, 4): [(2, 5)], (4, 2): [(5, 2)], (5, 4): [(6, 4)], (5, 2): [(5, 3)]}"
0,4,MCTS,1440,1.2812650203704834,"((5, 2), (5, 3))","{(2, 3): [(2, 4), (3, 3)], (1, 3): [(1, 4)], (3, 2): [(3, 3)], (5, 2): [(5, 3)]}"
0,5,MCTS,1620,1.1016225814819336,"((4, 2), (4, 3))","{(3, 3): [(3, 4), (4, 3)], (2, 3): [(2, 4)], (4, 2): [(4, 3)]}"
0,6,MCTS,1680,1.3750171661376953,"((4, 1), (5, 1))","{(5, 1): [(5, 0), (5, 2)], (4, 1): [(5, 1)], (2, 2): [(3, 2)], (4, 2): [(4, 3)]}"
0,7,MCTS,1740,1.0859036445617676,"((0, 3), (0, 4))","{(2, 1): [(3, 1)], (5, 1): [(6, 1)], (3, 2): [(4, 2)], (0, 3): [(0, 4)]}"
0,8,MCTS,1800,1.031263828277588,"((5, 1), (6, 1))","{(2, 1): [(3, 1)], (5, 1): [(6, 1)], (3, 2): [(4, 2)], (0, 0): [(0, 1)], (0, 4): [(0, 5)]}"
0,9,MCTS,1980,1.3392608165740967,"((3, 2), (4, 2))","{(2, 2): [(2, 3)], (1, 2): [(1, 3)], (3, 2): [(4, 2)], (5, 2): [(6, 2)], (5, 3): [(6, 3)], (4, 2): [(5, 2)], (0, 4): [(0, 5)]}"
